FECHA,HORA ,Severidad,TIPO_SINIESTRO,TOTAL DE FALLECIDOS,TOTAL DE HERIDOS
24/4/2016,07:15:00,LEVE,PERDIDA DE CARRIL,0,0
24/4/2016,20:40:00,GRAVE,ATROPELLO,0,1
29/4/2016,11:04:00,LEVE,PERDIDA DE CARRIL,0,0
8/5/2016,05:30:00,FATAL,PERDIDA DE CARRIL,1,3
9/5/2016,07:00:00,LEVE,ATIPICO,0,0
24/5/2016,12:50:00,GRAVE,ATROPELLO,0,1
30/5/2016,07:30:00,GRAVE,VOLCAMIENTO,0,5
30/5/2016,20:00:00,FATAL,VOLCAMIENTO,1,0
7/6/2016,13:45:00,GRAVE,CHOQUE FRONTAL,0,2
7/6/2016,14:10:00,LEVE,CHOQUE POR ALC,0,0
14/6/2016,19:20:00,GRAVE,CHOQUE LATERAL,0,1
18/6/2016,08:45:00,GRAVE,PERDIDA DE CARRIL,0,1
18/6/2016,15:30:00,LEVE,ATROPELLO,0,0
18/6/2016,04:00:00,LEVE,PERDIDA DE CARRIL,0,0
19/6/2016,22:00:00,LEVE,PERDIDA DE CARRIL,0,0
19/6/2016,21:00:00,GRAVE,CHOQUE FRONTAL,0,1
24/6/2016,21:30:00,LEVE,ATIPICO,0,0
25/6/2016,23:50:00,LEVE,ATIPICO,0,0
27/6/2016,06:30:00,GRAVE,CHOQUE LATERAL,0,2
29/6/2016,10:00:00,LEVE,CHOQUE LATERAL,0,0
3/7/2016,01:00:00,GRAVE,ESTRELLAMIENTO,0,1
3/7/2016,00:02:00,GRAVE,CHOQUE POR ALC,0,2
7/7/2016,09:00:00,FATAL,CHOQUE LATERAL,1,1
10/7/2016,05:30:00,GRAVE,ATROPELLO,0,1
10/7/2016,12:45:00,LEVE,COLISIÓN,0,0
12/7/2016,20:25:00,GRAVE,ATROPELLO,0,1
14/7/2016,23:30:00,FATAL,ESTRELLAMIENTO,1,0
14/7/2016,06:30:00,GRAVE,ATROPELLO,0,2
18/7/2016,05:30:00,LEVE,CHOQUE POR ALC,0,0
18/7/2016,17:50:00,GRAVE,CHOQUE POR ALC,0,1
21/7/2016,13:15:00,LEVE,PERDIDA DE CARRIL,0,0
21/7/2016,07:30:00,GRAVE,CHOQUE POR ALC,0,1
21/7/2016,19:40:00,GRAVE,CHOQUE POR ALC,0,3
22/7/2016,19:20:00,LEVE,COLISIÓN,0,0
22/7/2016,16:35:00,GRAVE,ROZAMIENTO,0,2
26/7/2016,14:15:00,LEVE,CHOQUE LATERAL,0,0
27/7/2016,17:40:00,LEVE,CHOQUE POR ALC,0,0
27/7/2016,05:30:00,FATAL,ATROPELLO,1,0
27/7/2016,16:00:00,GRAVE,CHOQUE FRONTAL,0,1
29/7/2016,15:30:00,GRAVE,CHOQUE LATERAL,0,1
1/8/2016,07:40:00,GRAVE,CHOQUE LATERAL,0,1
3/8/2016,06:40:00,LEVE,CHOQUE POR ALC,0,0
4/8/2016,17:45:00,GRAVE,CAÍDA DE PASAJERO,0,1
6/8/2016,12:20:00,GRAVE,PERDIDA DE CARRIL,0,1
7/8/2016,12:30:00,GRAVE,CHOQUE POR ALC,0,1
9/8/2016,22:15:00,LEVE,ESTRELLAMIENTO,0,0
10/8/2016,07:55:00,GRAVE,CHOQUE POR ALC,0,2
11/8/2016,12:45:00,GRAVE,ATROPELLO,0,1
11/8/2016,16:20:00,GRAVE,ATROPELLO,0,1
12/8/2016,18:50:00,GRAVE,CHOQUE POR ALC,0,1
15/8/2016,10:22:00,GRAVE,ATROPELLO,0,1
16/8/2016,08:00:00,GRAVE,CHOQUE POR ALC,0,1
20/8/2016,22:00:00,GRAVE,PERDIDA DE CARRIL,0,4
21/8/2016,20:15:00,GRAVE,CHOQUE LATERAL,0,1
24/8/2016,13:15:00,GRAVE,CHOQUE POR ALC,0,2
24/8/2016,07:50:00,GRAVE,ATROPELLO,0,1
24/8/2016,20:57:00,LEVE,CHOQUE LATERAL,0,0
26/8/2016,04:30:00,LEVE,PERDIDA DE CARRIL,0,0
26/8/2016,20:30:00,GRAVE,CHOQUE LATERAL,0,1
27/8/2016,23:45:00,GRAVE,ESTRELLAMIENTO,0,1
27/8/2016,23:30:00,GRAVE,PERDIDA DE CARRIL,0,1
27/8/2016,19:45:00,FATAL,CHOQUE FRONTAL,1,0
27/8/2016,21:00:00,GRAVE,PERDIDA DE CARRIL,0,1
30/8/2016,06:30:00,GRAVE,PERDIDA DE CARRIL,0,1
1/9/2016,06:30:00,GRAVE,CHOQUE LATERAL,0,4
1/9/2016,17:48:00,GRAVE,CHOQUE POR ALC,0,1
3/9/2016,04:00:00,GRAVE,PERDIDA DE CARRIL,0,1
4/9/2016,11:30:00,GRAVE,CHOQUE LATERAL,0,1
4/9/2016,19:20:00,GRAVE,ATROPELLO,0,1
5/9/2016,02:00:00,LEVE,ESTRELLAMIENTO,0,0
7/9/2016,04:20:00,GRAVE,PERDIDA DE CARRIL,0,4
7/9/2016,21:30:00,LEVE,VOLCAMIENTO,0,0
8/9/2016,22:15:00,LEVE,VOLCAMIENTO,0,0
9/9/2016,20:45:00,GRAVE,CHOQUE FRONTAL,0,1
10/9/2016,19:40:00,GRAVE,ESTRELLAMIENTO,0,2
12/9/2016,14:15:00,LEVE,ROZAMIENTO,0,0
15/9/2016,09:05:00,LEVE,CHOQUE LATERAL,0,0
16/9/2016,20:00:00,GRAVE,VOLCAMIENTO,0,1
17/9/2016,06:00:00,GRAVE,PERDIDA DE CARRIL,0,3
17/9/2016,19:30:00,GRAVE,CHOQUE POR ALC,0,1
18/9/2016,10:40:00,GRAVE,CHOQUE POR ALC,0,1
23/9/2016,05:15:00,LEVE,PERDIDA DE CARRIL,0,0
23/9/2016,00:50:00,LEVE,PERDIDA DE CARRIL,0,0
23/9/2016,14:30:00,GRAVE,PERDIDA DE CARRIL,0,1
24/9/2016,19:20:00,GRAVE,ATROPELLO,0,1
25/9/2016,14:50:00,LEVE,ESTRELLAMIENTO,0,0
25/9/2016,07:55:00,GRAVE,PERDIDA DE CARRIL,0,2
25/9/2016,16:40:00,GRAVE,CHOQUE POR ALC,0,2
25/9/2016,21:30:00,FATAL,PERDIDA DE CARRIL,1,1
30/9/2016,07:00:00,FATAL,CHOQUE POR ALC,1,1
3/10/2016,13:00:00,GRAVE,PERDIDA DE CARRIL,0,2
6/10/2016,19:30:00,GRAVE,CHOQUE POR ALC,0,1
6/10/2016,19:30:00,GRAVE,CAÍDA DE PASAJERO,0,1
8/10/2016,13:45:00,GRAVE,CHOQUE LATERAL,0,1
8/10/2016,21:00:00,GRAVE,ATROPELLO,0,1
9/10/2016,03:30:00,GRAVE,CHOQUE POR ALC,0,1
9/10/2016,12:55:00,FATAL,CHOQUE FRONTAL,1,0
9/10/2016,15:30:00,LEVE,PERDIDA DE CARRIL,0,0
9/10/2016,19:30:00,GRAVE,CHOQUE LATERAL,0,3
10/10/2016,17:56:00,FATAL,PERDIDA DE CARRIL,1,0
10/10/2016,15:25:00,GRAVE,CHOQUE POR ALC,0,2
11/10/2016,21:15:00,GRAVE,ROZAMIENTO,0,3
13/10/2016,16:50:00,LEVE,CHOQUE LATERAL,0,0
14/10/2016,18:30:00,GRAVE,CHOQUE POR ALC,0,3
16/10/2016,06:49:00,GRAVE,PERDIDA DE CARRIL,0,1
16/10/2016,10:50:00,LEVE,ESTRELLAMIENTO,0,0
16/10/2016,06:05:00,FATAL,CHOQUE FRONTAL,1,1
19/10/2016,01:40:00,GRAVE,PERDIDA DE CARRIL,0,1
22/10/2016,07:00:00,FATAL,PERDIDA DE CARRIL,1,3
23/10/2016,06:25:00,GRAVE,PERDIDA DE CARRIL,0,1
23/10/2016,11:15:00,GRAVE,PERDIDA DE CARRIL,0,1
23/10/2016,11:30:00,GRAVE,ATROPELLO,0,1
24/10/2016,16:25:00,LEVE,CHOQUE POR ALC,0,0
27/10/2016,16:30:00,GRAVE,PERDIDA DE CARRIL,0,1
30/10/2016,16:45:00,GRAVE,CHOQUE POR ALC,0,1
30/10/2016,12:40:00,GRAVE,CHOQUE FRONTAL,0,2
31/10/2016,20:35:00,FATAL,PERDIDA DE CARRIL,1,0
1/11/2016,23:45:00,GRAVE,ESTRELLAMIENTO,0,3
1/11/2016,01:40:00,LEVE,ESTRELLAMIENTO,0,0
3/11/2016,02:20:00,GRAVE,PERDIDA DE CARRIL,0,1
3/11/2016,19:25:00,LEVE,ROZAMIENTO,0,0
7/11/2016,18:40:00,GRAVE,ROZAMIENTO,0,1
8/11/2016,07:00:00,FATAL,PERDIDA DE CARRIL,1,0
8/11/2016,14:40:00,GRAVE,CHOQUE LATERAL,0,1
12/11/2016,05:35:00,GRAVE,PERDIDA DE CARRIL,0,1
13/11/2016,19:30:00,FATAL,ATROPELLO,1,0
14/11/2016,12:30:00,FATAL,CHOQUE POR ALC,1,1
18/11/2016,23:30:00,GRAVE,ATROPELLO,0,1
19/11/2016,03:45:00,FATAL,CHOQUE FRONTAL,1,4
20/11/2016,00:40:00,GRAVE,ROZAMIENTO,0,1
22/11/2016,16:30:00,GRAVE,CHOQUE POR ALC,0,1
23/11/2016,17:10:00,GRAVE,CHOQUE LATERAL,0,3
24/11/2016,08:30:00,GRAVE,ROZAMIENTO,0,1
25/11/2016,12:52:00,LEVE,PERDIDA DE CARRIL,0,0
26/11/2016,13:00:00,GRAVE,CHOQUE LATERAL,0,2
26/11/2016,21:10:00,GRAVE,CHOQUE POR ALC,0,2
26/11/2016,20:50:00,LEVE,ATROPELLO,0,0
27/11/2016,10:26:00,LEVE,CHOQUE LATERAL,0,0
30/11/2016,19:00:00,LEVE,CHOQUE LATERAL,0,0
1/12/2016,11:50:00,LEVE,PERDIDA DE CARRIL,0,0
2/12/2016,11:00:00,FATAL,CHOQUE LATERAL,1,0
2/12/2016,08:30:00,GRAVE,PERDIDA DE CARRIL,0,2
5/12/2016,05:48:00,GRAVE,PERDIDA DE CARRIL,0,26
8/12/2016,22:00:00,GRAVE,CHOQUE FRONTAL,0,1
10/12/2016,21:05:00,FATAL,ROZAMIENTO,1,0
11/12/2016,05:20:00,FATAL,VOLCAMIENTO,2,0
12/12/2016,19:08:00,GRAVE,CHOQUE LATERAL,0,2
14/12/2016,05:45:00,GRAVE,ESTRELLAMIENTO,0,1
15/12/2016,09:25:00,GRAVE,ATROPELLO,0,1
15/12/2016,19:15:00,GRAVE,ATROPELLO,0,1
17/12/2016,06:30:00,GRAVE,PERDIDA DE CARRIL,0,1
17/12/2016,17:15:00,GRAVE,ROZAMIENTO,0,1
20/12/2016,18:27:00,GRAVE,CHOQUE LATERAL,0,2
20/12/2016,08:55:00,LEVE,PERDIDA DE CARRIL,0,0
24/12/2016,00:40:00,FATAL,ESTRELLAMIENTO,1,0
24/12/2016,01:30:00,LEVE,PERDIDA DE CARRIL,0,0
24/12/2016,23:00:00,LEVE,PERDIDA DE CARRIL,0,0
25/12/2016,01:30:00,GRAVE,CAÍDA DE PASAJERO,0,1
25/12/2016,18:30:00,LEVE,CHOQUE LATERAL,0,0
27/12/2016,06:42:00,LEVE,CHOQUE LATERAL,0,0
29/12/2016,12:45:00,GRAVE,PERDIDA DE CARRIL,0,1
29/12/2016,14:30:00,GRAVE,ATROPELLO,0,1
29/12/2016,18:30:00,GRAVE,ESTRELLAMIENTO,0,8
30/12/2016,20:30:00,GRAVE,ROZAMIENTO,0,1
31/12/2016,04:45:00,LEVE,ESTRELLAMIENTO,0,0
1/1/2017,13:50:00,GRAVE,ROZAMIENTO,0,2
1/1/2017,16:30:00,GRAVE,CHOQUE LATERAL,0,1
1/1/2017,17:30:00,LEVE,CHOQUE POR ALC,0,0
2/1/2017,03:35:00,LEVE,ESTRELLAMIENTO,0,0
2/1/2017,19:10:00,GRAVE,CHOQUE LATERAL,0,1
6/1/2017,11:00:00,LEVE,PERDIDA DE CARRIL,0,0
6/1/2017,17:50:00,GRAVE,CHOQUE FRONTAL,0,1
7/1/2017,13:40:00,GRAVE,CHOQUE LATERAL,0,1
8/1/2017,10:40:00,GRAVE,CHOQUE LATERAL,0,1
8/1/2017,03:00:00,GRAVE,CHOQUE POR ALC,0,3
10/1/2017,13:00:00,GRAVE,CHOQUE LATERAL,0,3
10/1/2017,15:30:00,LEVE,CHOQUE POR ALC,0,0
11/1/2017,17:00:00,GRAVE,PERDIDA DE CARRIL,0,3
11/1/2017,10:30:00,FATAL,ATROPELLO,1,0
13/1/2017,15:40:00,LEVE,CHOQUE POR ALC,0,0
13/1/2017,15:45:00,LEVE,CHOQUE LATERAL,0,0
14/1/2017,07:15:00,GRAVE,CHOQUE LATERAL,0,1
15/1/2017,01:45:00,FATAL,PERDIDA DE CARRIL,1,1
17/1/2017,17:40:00,LEVE,ESTRELLAMIENTO,0,0
18/1/2017,10:45:00,GRAVE,PERDIDA DE CARRIL,0,1
18/1/2017,19:25:00,GRAVE,CHOQUE LATERAL,0,2
19/1/2017,10:15:00,FATAL,CHOQUE LATERAL,1,0
22/1/2017,17:20:00,GRAVE,ROZAMIENTO,0,3
23/1/2017,19:15:00,GRAVE,ATROPELLO,0,5
25/1/2017,04:10:00,GRAVE,PERDIDA DE CARRIL,0,1
26/1/2017,06:20:00,LEVE,PERDIDA DE CARRIL,0,0
28/1/2017,17:30:00,LEVE,PERDIDA DE CARRIL,0,0
29/1/2017,00:10:00,FATAL,CHOQUE FRONTAL,2,0
29/1/2017,04:45:00,GRAVE,CHOQUE POR ALC,0,4
29/1/2017,13:40:00,GRAVE,PERDIDA DE CARRIL,0,3
2/2/2017,21:30:00,GRAVE,PERDIDA DE CARRIL,0,5
3/2/2017,16:15:00,LEVE,PERDIDA DE CARRIL,0,0
3/2/2017,13:35:00,GRAVE,ESTRELLAMIENTO,0,1
4/2/2017,01:00:00,LEVE,VOLCAMIENTO,0,0
5/2/2017,10:48:00,LEVE,PERDIDA DE CARRIL,0,0
6/2/2017,07:10:00,LEVE,PERDIDA DE CARRIL,0,0
7/2/2017,16:45:00,GRAVE,CHOQUE FRONTAL,0,1
8/2/2017,20:00:00,GRAVE,PERDIDA DE CARRIL,0,1
9/2/2017,20:45:00,LEVE,PERDIDA DE CARRIL,0,0
11/2/2017,19:30:00,GRAVE,CHOQUE LATERAL,0,2
13/2/2017,11:00:00,GRAVE,CHOQUE LATERAL,0,2
13/2/2017,18:30:00,LEVE,PERDIDA DE CARRIL,0,0
13/2/2017,23:40:00,GRAVE,CAÍDA DE PASAJERO,0,1
14/2/2017,12:30:00,GRAVE,CHOQUE LATERAL,0,1
15/2/2017,06:30:00,GRAVE,PERDIDA DE CARRIL,0,1
20/2/2017,16:55:00,LEVE,CHOQUE LATERAL,0,0
21/2/2017,16:02:00,GRAVE,CHOQUE LATERAL,0,1
22/2/2017,15:15:00,LEVE,CHOQUE POR ALC,0,0
25/2/2017,11:15:00,GRAVE,ROZAMIENTO,0,1
25/2/2017,07:45:00,GRAVE,PERDIDA DE CARRIL,0,1
25/2/2017,21:15:00,GRAVE,PERDIDA DE CARRIL,0,2
26/2/2017,02:43:00,GRAVE,ATROPELLO,0,2
26/2/2017,18:10:00,GRAVE,ROZAMIENTO,0,1
28/2/2017,17:00:00,FATAL,CHOQUE FRONTAL,1,3
1/3/2017,12:00:00,FATAL,CHOQUE LATERAL,1,0
1/3/2017,19:45:00,GRAVE,PERDIDA DE CARRIL,0,1
3/3/2017,08:50:00,LEVE,CHOQUE POR ALC,0,0
4/3/2017,22:00:00,GRAVE,ATROPELLO,0,1
5/3/2017,20:00:00,LEVE,PERDIDA DE CARRIL,0,0
6/3/2017,05:20:00,GRAVE,CHOQUE FRONTAL,0,3
6/3/2017,09:40:00,LEVE,CHOQUE POR ALC,0,0
6/3/2017,11:38:00,GRAVE,VOLCAMIENTO,0,4
10/3/2017,10:00:00,LEVE,CHOQUE FRONTAL,0,0
10/3/2017,12:30:00,FATAL,ESTRELLAMIENTO,1,0
18/3/2017,17:40:00,GRAVE,CHOQUE POR ALC,0,1
19/3/2017,12:30:00,GRAVE,CHOQUE LATERAL,0,5
24/3/2017,15:00:00,GRAVE,PERDIDA DE CARRIL,0,1
24/3/2017,18:00:00,LEVE,PERDIDA DE CARRIL,0,0
24/3/2017,15:00:00,LEVE,PERDIDA DE CARRIL,0,0
25/3/2017,03:00:00,LEVE,ESTRELLAMIENTO,0,0
26/3/2017,00:50:00,GRAVE,CHOQUE LATERAL,0,5
30/3/2017,07:40:00,LEVE,ATIPICO,0,0
31/3/2017,07:00:00,LEVE,CHOQUE FRONTAL,0,0
31/3/2017,17:10:00,LEVE,VOLCAMIENTO,0,0
31/3/2017,16:40:00,LEVE,VOLCAMIENTO,0,0
1/4/2017,07:42:00,GRAVE,PERDIDA DE CARRIL,0,4
1/4/2017,07:00:00,GRAVE,CAÍDA DE PASAJERO,0,1
2/4/2017,16:00:00,GRAVE,CHOQUE FRONTAL,0,1
2/4/2017,14:00:00,GRAVE,CHOQUE LATERAL,0,1
2/4/2017,15:35:00,GRAVE,PERDIDA DE CARRIL,0,2
2/4/2017,17:13:00,GRAVE,CHOQUE LATERAL,0,1
3/4/2017,22:00:00,LEVE,PERDIDA DE CARRIL,0,0
6/4/2017,14:30:00,GRAVE,CHOQUE LATERAL,0,1
6/4/2017,11:10:00,GRAVE,PERDIDA DE CARRIL,0,2
6/4/2017,19:45:00,GRAVE,CHOQUE LATERAL,0,2
7/4/2017,11:00:00,LEVE,CHOQUE POR ALC,0,0
7/4/2017,04:15:00,GRAVE,PERDIDA DE CARRIL,0,1
8/4/2017,14:00:00,LEVE,CHOQUE LATERAL,0,0
8/4/2017,05:30:00,LEVE,PERDIDA DE CARRIL,0,0
8/4/2017,15:00:00,GRAVE,ATROPELLO,0,1
9/4/2017,20:00:00,GRAVE,CHOQUE FRONTAL,0,1
11/4/2017,16:31:00,GRAVE,CHOQUE LATERAL,0,2
13/4/2017,05:45:00,GRAVE,PERDIDA DE CARRIL,0,1
15/4/2017,11:00:00,GRAVE,ROZAMIENTO,0,1
15/4/2017,23:10:00,LEVE,ATROPELLO,0,0
16/4/2017,08:20:00,GRAVE,PERDIDA DE CARRIL,0,3
19/4/2017,11:30:00,FATAL,ROZAMIENTO,1,0
23/4/2017,19:50:00,LEVE,CHOQUE LATERAL,0,0
25/4/2017,15:30:00,GRAVE,CHOQUE POR ALC,0,1
25/4/2017,17:30:00,GRAVE,ATROPELLO,0,1
26/4/2017,14:08:00,GRAVE,CHOQUE LATERAL,0,3
26/4/2017,14:00:00,FATAL,ROZAMIENTO,1,1
26/4/2017,16:30:00,LEVE,PERDIDA DE CARRIL,0,0
27/4/2017,09:00:00,GRAVE,CHOQUE LATERAL,0,1
29/4/2017,07:55:00,LEVE,CHOQUE POR ALC,0,0
30/4/2017,03:45:00,GRAVE,ATROPELLO,0,1
30/4/2017,02:53:00,GRAVE,PERDIDA DE CARRIL,0,1
30/4/2017,11:30:00,GRAVE,ATROPELLO,0,4
30/4/2017,18:40:00,GRAVE,CHOQUE LATERAL,0,2
30/4/2017,23:35:00,GRAVE,CHOQUE LATERAL,0,1
1/5/2017,15:00:00,GRAVE,PERDIDA DE CARRIL,0,3
6/5/2017,08:30:00,GRAVE,CHOQUE LATERAL,0,2
7/5/2017,04:55:00,LEVE,PERDIDA DE CARRIL,0,0
7/5/2017,17:15:00,GRAVE,CAÍDA DE PASAJERO,0,2
8/5/2017,21:15:00,LEVE,ESTRELLAMIENTO,0,0
9/5/2017,03:30:00,LEVE,PERDIDA DE CARRIL,0,0
9/5/2017,20:00:00,LEVE,PERDIDA DE CARRIL,0,0
9/5/2017,20:00:00,LEVE,PERDIDA DE CARRIL,0,0
10/5/2017,22:15:00,LEVE,ESTRELLAMIENTO,0,0
11/5/2017,03:00:00,LEVE,ESTRELLAMIENTO,0,0
11/5/2017,19:00:00,GRAVE,ESTRELLAMIENTO,0,2
11/5/2017,18:30:00,LEVE,ATROPELLO,0,0
14/5/2017,21:00:00,GRAVE,ATROPELLO,0,1
18/5/2017,13:30:00,GRAVE,CAÍDA DE PASAJERO,0,1
18/5/2017,15:15:00,LEVE,CHOQUE POR ALC,0,0
20/5/2017,06:30:00,GRAVE,PERDIDA DE CARRIL,0,1
20/5/2017,19:00:00,GRAVE,CHOQUE LATERAL,0,4
22/5/2017,15:40:00,GRAVE,PERDIDA DE CARRIL,0,4
23/5/2017,09:30:00,GRAVE,ROZAMIENTO,0,1
26/5/2017,19:30:00,FATAL,ATROPELLO,1,0
26/5/2017,23:00:00,GRAVE,CHOQUE FRONTAL,0,1
29/5/2017,16:55:00,GRAVE,CHOQUE LATERAL,0,1
1/6/2017,16:00:00,GRAVE,ATROPELLO,0,1
3/6/2017,16:15:00,GRAVE,PERDIDA DE CARRIL,0,2
4/6/2017,11:00:00,LEVE,PERDIDA DE CARRIL,0,0
7/6/2017,11:35:00,GRAVE,COLISIÓN,0,1
9/6/2017,06:45:00,LEVE,CHOQUE LATERAL,0,0
10/6/2017,07:00:00,LEVE,ATIPICO,0,0
12/6/2017,08:30:00,GRAVE,CHOQUE LATERAL,0,1
12/6/2017,09:30:00,LEVE,PERDIDA DE CARRIL,0,0
13/6/2017,10:30:00,GRAVE,CHOQUE LATERAL,0,1
15/6/2017,11:30:00,GRAVE,CHOQUE LATERAL,0,1
15/6/2017,16:15:00,LEVE,CHOQUE POR ALC,0,0
16/6/2017,19:40:00,GRAVE,ATROPELLO,0,1
17/6/2017,22:00:00,GRAVE,CHOQUE LATERAL,0,2
22/6/2017,09:30:00,LEVE,PERDIDA DE CARRIL,0,0
24/6/2017,10:15:00,GRAVE,ATROPELLO,0,1
24/6/2017,15:00:00,GRAVE,VOLCAMIENTO,0,6
27/6/2017,22:18:00,LEVE,ATIPICO,0,0
28/6/2017,04:50:00,FATAL,PERDIDA DE CARRIL,1,0
30/6/2017,11:35:00,GRAVE,CHOQUE LATERAL,0,1
1/7/2017,05:05:00,LEVE,ESTRELLAMIENTO,0,0
1/7/2017,10:45:00,LEVE,PERDIDA DE CARRIL,0,0
2/7/2017,15:20:00,GRAVE,CHOQUE LATERAL,0,2
3/7/2017,01:00:00,GRAVE,PERDIDA DE CARRIL,0,1
4/7/2017,05:45:00,GRAVE,CHOQUE LATERAL,0,1
4/7/2017,15:56:00,LEVE,ESTRELLAMIENTO,0,0
6/7/2017,12:30:00,GRAVE,ESTRELLAMIENTO,0,1
7/7/2017,04:30:00,GRAVE,CHOQUE POR ALC,0,1
11/7/2017,00:05:00,FATAL,ESTRELLAMIENTO,1,2
12/7/2017,15:40:00,LEVE,PERDIDA DE CARRIL,0,0
15/7/2017,22:15:00,GRAVE,CHOQUE LATERAL,0,3
16/7/2017,06:50:00,FATAL,ESTRELLAMIENTO,1,0
16/7/2017,03:40:00,LEVE,PERDIDA DE CARRIL,0,0
19/7/2017,21:50:00,LEVE,PERDIDA DE CARRIL,0,0
21/7/2017,23:30:00,LEVE,ESTRELLAMIENTO,0,0
22/7/2017,07:00:00,FATAL,CHOQUE FRONTAL,1,0
22/7/2017,08:45:00,FATAL,CHOQUE FRONTAL,1,6
24/7/2017,07:00:00,GRAVE,ATROPELLO,0,1
24/7/2017,18:10:00,GRAVE,CHOQUE LATERAL,0,1
25/7/2017,08:00:00,LEVE,ATIPICO,0,0
25/7/2017,17:50:00,LEVE,PERDIDA DE CARRIL,0,0
28/7/2017,04:30:00,GRAVE,CHOQUE POR ALC,0,1
28/7/2017,22:40:00,GRAVE,CHOQUE LATERAL,0,2
30/7/2017,01:40:00,GRAVE,PERDIDA DE CARRIL,0,1
30/7/2017,19:00:00,GRAVE,CHOQUE LATERAL,0,2
31/7/2017,13:25:00,FATAL,CHOQUE LATERAL,1,1
2/8/2017,11:50:00,GRAVE,PERDIDA DE CARRIL,0,2
2/8/2017,07:50:00,GRAVE,PERDIDA DE CARRIL,0,3
4/8/2017,11:30:00,LEVE,ATROPELLO,0,0
5/8/2017,14:57:00,GRAVE,ROZAMIENTO,0,1
5/8/2017,07:00:00,GRAVE,PERDIDA DE CARRIL,0,1
10/8/2017,11:00:00,GRAVE,CHOQUE POR ALC,0,4
11/8/2017,16:00:00,GRAVE,CHOQUE FRONTAL,0,5
11/8/2017,23:00:00,FATAL,ROZAMIENTO,1,0
13/8/2017,20:00:00,FATAL,CHOQUE LATERAL,1,1
14/8/2017,05:10:00,GRAVE,PERDIDA DE CARRIL,0,2
14/8/2017,20:00:00,GRAVE,ATROPELLO,0,1
15/8/2017,10:00:00,LEVE,CHOQUE POR ALC,0,0
15/8/2017,19:30:00,LEVE,PERDIDA DE CARRIL,0,0
18/8/2017,03:45:00,LEVE,PERDIDA DE CARRIL,0,0
19/8/2017,00:02:00,GRAVE,PERDIDA DE CARRIL,0,1
19/8/2017,09:00:00,GRAVE,CHOQUE LATERAL,0,1
